porosity,Permeability,Depth,API,Viscosity,Temperature
7,5,5400,43,0.8,108
5,0.1,5500,41,0.8,101
7,5,5500,41,0.8,108
3,0.1,5600,42,0.8,102
10,4,4000,34,2,86
14,5,5600,41,1,125
9,20,4300,29,6,97
10.5,4,5500,32,1,104
10,4,5500,32,1,104
11.58670886,29.65413793,3000,36,1,118.3489796
15,8,4852,35,1,98
12,1.3,5300,35,1,104
12,1.3,5500,35,1,104
12,1.3,5500,35,1,104
12,1.3,5500,35,1,104
12,1.3,5500,35,1,104
4,19,6700,39,1,135
10.3,4,5400,35,1,181
10,5,6400,35,1,170
25,85,2900,39.6,3,99
10,5,4950,31,1.8,105
7,4,5800,30,3,109
14,5,4800,32,2.3,102
11,2,4900,31,1.8,105
13,6,6800,40,0.7,130
10,4,4950,31,1.8,105
10,3,5400,30,3,101
11,4,5040,34,1.5,105
12,2,4900,34,1.4,108
18,2,5400,42,0.4,104
22,5,5300,44,0.4,104
10,4,4200,34,1.5,91
22,5,7500,40,0.5,123
15,15,4200,35,0.9,102
21,4,5200,43,0.6,104
20,12,6300,39,1,125
10,70,6600,43,0.4,125
10,4,5000,31,1.6,108
12,5,4950,31,1.8,105
10,4,4950,32,2,105
9,4,4900,32,2,105
11,4,4900,34,2.3,98
7,2,7850,28,1.9,134
11,8,5250,34,1.2,105
12,8,5200,33,1.2,105
10,5,5100,34,1.3,110
10,1.5,5100,32,2,105
10,3,4900,34,2.3,98
13.5,9,8000,40,1.714602459,122
11.5,4,6500,40,1,113
10.4,170,6700,43.5,0.4,139
12,18.3,5700,42,1.5,129
11.6,32,4200,34,0.98,104
22,4,5500,40,0.5,101
8.6,2,4500,33,1,106
13,6,5100,33,0.97,110
17,175,1400,30,6,82
15,35,8051,41.7,1.714602459,215
4,2,1150,27,0.4,83
29,700,11950,45,6,260
12,14,5500,38,1.8,108
14.25,44.35,6107,37,1.3,133.9
11.6,1.5,3850,31,2.3,86
10,10,4200,32,1.2,94
9.4,19.4,6700,41,0.4,130
9.3,9,4890,34,2.2,96
16,5,3180,33,2.5,104
13,3,4100,35,1,100
8.6,2,4500,33,1,106
13,6,5100,33,1,110
10,3,5400,30,3,101
10,3,5000,32,2,107
12.5,6,4900,32,1,110
10,150,6600,40,1,125
9,20,4300,29,6,97
20,12,6300,39,1,125
10.5,4,5500,32,1.4,104
10,4,5500,32,1,106
10,2,5300,33,2,108
10,4,4000,34,2,86
12.5,10,6109,25,1.7,250
20,500,2887,21,1,130
12.5,10,6109,25,1.7,250
20,500,2887,21,1,130
11,29.65413793,5313.327039,37.7,1,74
12.6,0.6,10656,19.8,2.22,220
13.7,1.17,10150,23.7,3.9,225
9,1.74,10800,24.8,2.8,235
18,3,7500,32.7,0.57,191
15.4,400,8885,25.2,0.65,200
13.8,0.7,10656,20,2.22,220
14,1.5,10500,24,4.1,225
9,2,10900,25,2.4,235
18,3.2,7500,33,0.565,191
16,80,8885,23,0.7,200
13.8,0.7,10656,20,2.22,220
14,1.5,10500,24,4.1,225
9,2,10900,25,2.4,235
18,3.2,7500,33,0.565,191
16,410,8885,23,0.7,200
11.58670886,60,2800,19.5,16,131
11.58670886,84,2582,21.9,12.2,124
11.58670886,189,2582,21,13,128
11.58670886,237,5597,37.3,0.48,163
11.58670886,100,6050,36,1.4,180
